timestep,ep_rew_mean,ep_len_mean,success_rate,grasp_success_rate,place_success_rate,first_grasp_step_mean,grasp_transitions_mean,max_height_mean,n_episodes
8192,-195.60358975,700.0,0.0,0.125,0.0,26.0,0.375,0.07082714259520405,8
16384,-195.28744305,700.0,0.0,0.05,0.0,10.4,0.15,0.07060923093743299,20
24576,-195.05145431250003,700.0,0.0,0.03125,0.0,6.5,0.09375,0.0706391807968346,32
32768,-194.95863402272727,700.0,0.0,0.045454545454545456,0.0,8.931818181818182,0.09090909090909091,0.07063441941772307,44
40960,-194.1748375,700.0,0.0,0.07142857142857142,0.0,18.660714285714285,0.21428571428571427,0.0707244955591766,56
49152,-193.243505,700.0,0.0,0.08823529411764706,0.0,19.455882352941178,0.29411764705882354,0.07096785214522934,68
57344,-192.48192187499998,700.0,0.0,0.1125,0.0,20.1,0.3,0.07096884969342254,80
65536,-191.43378414130436,700.0,0.0,0.14130434782608695,0.0,22.75,0.391304347826087,0.07107816059997782,92
73728,-190.79282360000002,700.0,0.0,0.14,0.0,20.68,0.35,0.07103593621828615,100
81920,-189.39212778000004,700.0,0.0,0.18,0.0,24.84,0.48,0.07119270102819343,100
90112,-187.89172342000006,700.0,0.0,0.19,0.0,25.94,0.49,0.07121548572126753,100
98304,-186.42626511999998,700.0,0.0,0.21,0.0,27.49,0.54,0.07125064652707352,100
106496,-186.58177788,700.0,0.0,0.22,0.0,28.08,0.5,0.07140052300377676,100
114688,-186.02110741,700.0,0.0,0.24,0.0,30.62,0.58,0.071409189852437,100
122880,-185.44374166,700.0,0.0,0.24,0.0,33.65,0.59,0.07164837798239324,100
131072,-185.99833009999995,700.0,0.0,0.26,0.0,33.38,0.72,0.07172005193790824,100
139264,-186.81359690000002,700.0,0.0,0.25,0.0,32.66,0.68,0.07193567155386087,100
147456,-186.82995330000003,700.0,0.0,0.28,0.0,36.55,0.77,0.0768520409034987,100
155648,-187.10470604999995,700.0,0.0,0.31,0.0,38.02,0.84,0.07796954668744968,100
163840,-188.02509241000004,700.0,0.0,0.34,0.0,39.89,0.91,0.07805951818991319,100
172032,-189.33390504000002,700.0,0.0,0.33,0.0,37.14,0.89,0.07806207142718125,100
180224,-189.29825642000003,700.0,0.0,0.33,0.0,35.62,0.93,0.07803603225438621,100
188416,-189.71744230000002,700.0,0.0,0.32,0.0,31.28,0.88,0.07769750319169677,100
196608,-190.08619038,700.0,0.0,0.31,0.0,33.82,0.76,0.07763888431588699,100
204800,-190.06544465,700.0,0.0,0.32,0.0,34.39,0.87,0.07769650943852395,100
212992,-190.87065303000006,700.0,0.0,0.31,0.0,33.27,0.83,0.0726966219122057,100
221184,-190.97070570000002,700.0,0.0,0.29,0.0,31.78,0.85,0.07271423309323252,100
229376,-191.61578752999995,700.0,0.0,0.25,0.0,34.12,0.72,0.07155100731896126,100
237568,-191.74536608,700.0,0.0,0.29,0.0,34.97,0.92,0.07163485427206895,100
245760,-192.36791904,700.0,0.0,0.3,0.0,32.85,1.04,0.0717106392640561,100
253952,-193.20052234,700.0,0.0,0.33,0.0,34.44,1.07,0.0725049802152339,100
262144,-193.94905776,700.0,0.0,0.36,0.0,40.69,1.21,0.0725780488816867,100
270336,-193.75282803,700.0,0.0,0.41,0.0,38.19,1.4,0.07271047930969803,100
278528,-192.61621447999997,700.0,0.0,0.43,0.0,40.07,1.49,0.07271125597462932,100
286720,-191.48528677000002,700.0,0.0,0.44,0.0,38.59,1.49,0.07277655415289348,100
294912,-191.61252552000002,700.0,0.0,0.47,0.0,41.45,1.57,0.0729061578142746,100
303104,-191.19143511,700.0,0.0,0.5,0.0,47.45,1.69,0.07359304508312492,100
311296,-190.34375319999998,700.0,0.0,0.53,0.0,51.5,1.75,0.07367696261475006,100
319488,-187.90547145000005,700.0,0.0,0.54,0.0,54.73,1.76,0.07292340108927524,100
327680,-186.45498162000004,700.0,0.0,0.58,0.0,55.56,1.87,0.07294328487692545,100
335872,-186.41274510000002,700.0,0.0,0.56,0.0,55.53,1.85,0.07296124746919919,100
344064,-185.80112003,700.0,0.0,0.57,0.0,56.54,1.84,0.07290869519208944,100
