#{"t_start": 1777043330.825672, "env_id": "None"}
r,l,t,success,grasp_success,place_success,first_grasp_step,grasp_transitions,max_height
-195.913238,700,93.552269,False,0.0,0.0,0,0,0.07046735090919642
-187.92747,700,136.162399,False,0.0,0.0,0,0,0.07045477564285418
-187.217576,700,188.438349,False,0.0,0.0,0,0,0.0704560379755117
-200.052919,700,251.22836,False,0.0,0.0,0,0,0.07046745894115458
-220.146603,700,375.450315,False,0.0,0.0,0,0,0.07044945912617784
-192.530676,700,418.959774,False,0.0,0.0,0,0,0.07045472012562948
-184.448552,700,463.90129,False,0.0,0.0,0,0,0.07046743394615562
-193.771881,700,512.000508,False,0.0,0.0,0,0,0.07046746078178956
-210.643701,700,588.419126,False,0.0,0.0,0,0,0.07046748779676504
-199.672846,700,628.68862,False,0.0,0.0,0,0,0.07045432893203007
-187.515344,700,682.671945,False,0.0,0.0,0,0,0.0704673899299244
-194.546723,700,740.308929,False,1.0,0.0,314,3,0.07315270683447883
-201.10217,700,784.68179,False,0.0,0.0,0,0,0.070449460221512
-190.568467,700,846.014733,False,0.0,0.0,0,0,0.07045437166521806
-166.676388,700,895.837126,False,0.0,0.0,0,0,0.07317300487661726
-176.992505,700,951.401826,False,0.0,0.0,0,0,0.0704673795176648
-193.733702,700,1011.454348,False,0.0,0.0,0,0,0.070449456990751
-190.119868,700,1051.08054,False,1.0,0.0,98,2,0.07280315003357662
-170.797558,700,1103.549529,False,1.0,0.0,80,1,0.07049623257886473
-177.101239,700,1145.849183,False,0.0,0.0,0,0,0.07045431859830098
-191.790206,700,1201.099727,False,0.0,0.0,0,0,0.07046744924980841
-199.453942,700,6120.27609,False,1.0,0.0,150,1,0.07446321727745298
-187.95394,700,6146.927922,False,0.0,0.0,0,0,0.07046735022887252
-206.224703,700,6167.844115,False,0.0,0.0,0,0,0.07045749479310393
-184.784807,700,6193.087246,False,0.0,0.0,0,0,0.07045502311583651
-199.626948,700,6215.397908,False,0.0,0.0,0,0,0.07045488273053468
-198.351243,700,6252.028655,False,0.0,0.0,0,0,0.07046067952642376
-186.820324,700,6273.617101,False,0.0,0.0,0,0,0.07298717376551012
-167.283232,700,6303.940735,False,0.0,0.0,0,0,0.07045266558173902
-183.565179,700,6326.941164,False,0.0,0.0,0,0,0.07046758074483517
-197.086443,700,6349.307537,False,0.0,0.0,0,0,0.07046738577613432
-175.24917,700,6391.747512,False,0.0,0.0,0,0,0.07046741593176542
-180.77319,700,6441.576166,False,0.0,0.0,0,0,0.07046848063655353
-202.87012,700,6462.465246,False,0.0,0.0,0,0,0.07045518837209641
-192.638053,700,6482.379541,False,0.0,0.0,0,0,0.0704673758972556
-211.128183,700,6524.558479,False,1.0,0.0,71,1,0.07220722314771222
-205.571063,700,6548.063469,False,0.0,0.0,0,0,0.07045552742876648
-172.624392,700,6573.596558,False,0.0,0.0,0,0,0.07045471949914484
-209.8968,700,6608.36373,False,0.0,0.0,0,0,0.07045495042314531
-186.97723,700,6637.136952,False,0.0,0.0,0,0,0.0704675495015914
-193.048581,700,6660.372747,False,0.0,0.0,0,0,0.07046736059732239
-173.062812,700,6689.338014,False,0.0,0.0,0,0,0.07046734530246046
-184.477196,700,6714.838226,False,0.0,0.0,0,0,0.07046745919939246
-183.819758,700,6746.912886,False,0.0,0.0,0,0,0.07046738201728908
-190.007241,700,6769.581305,False,0.0,0.0,0,0,0.07046742565568398
-221.835184,700,6803.98169,False,0.0,0.0,0,0,0.07046748922583734
-177.325491,700,6851.899369,False,0.0,0.0,0,0,0.07046744869632815
-193.73555,700,6877.387645,False,1.0,0.0,45,3,0.07236966844818227
-192.255146,700,6900.794451,False,0.0,0.0,0,0,0.07046726689157123
-222.89164,700,6921.375037,False,1.0,0.0,84,4,0.07226356520040111
-189.937751,700,6954.766225,False,1.0,0.0,284,1,0.07187998923462913
-185.584139,700,6987.258696,False,1.0,0.0,90,4,0.07288240965699277
-213.769803,700,7012.897346,False,0.0,0.0,0,0,0.07045465990986399
-175.16894,700,7048.135251,False,0.0,0.0,0,0,0.07204986173310524
-172.943805,700,7077.779236,False,1.0,0.0,80,1,0.07125196707748149
-180.408999,700,7106.547738,False,1.0,0.0,46,4,0.07249687436649188
-193.898868,700,7136.89557,False,0.0,0.0,0,0,0.07044945620156695
-170.766307,700,7164.234649,False,1.0,0.0,84,3,0.0731316528698207
-166.795108,700,7189.467304,False,0.0,0.0,0,0,0.07046744317933018
-192.661626,700,7209.211094,False,0.0,0.0,0,0,0.0704675744538481
-189.732336,700,7231.638039,False,0.0,0.0,0,0,0.07046744065400934
-185.036993,700,7262.831945,False,0.0,0.0,0,0,0.07045431747912745
-209.964662,700,7287.561311,False,0.0,0.0,0,0,0.07333496639768877
-198.779772,700,7321.005012,False,1.0,0.0,39,6,0.07461538232813425
-170.792844,700,7354.969014,False,0.0,0.0,0,0,0.07046740655051531
-175.902704,700,7374.406686,False,1.0,0.0,49,1,0.07304088141363074
-194.59621,700,7400.67994,False,0.0,0.0,0,0,0.07045517523535916
-175.786833,700,7431.372172,False,0.0,0.0,0,0,0.07046751061642109
-196.69158,700,7460.924915,False,0.0,0.0,0,0,0.07046745737545379
-182.597463,700,7498.988856,False,0.0,0.0,0,0,0.07223558362052185
-191.802864,700,7524.920915,False,0.0,0.0,0,0,0.07070438758288056
-185.718626,700,7560.047283,False,1.0,0.0,47,4,0.07423143496467521
-197.301119,700,7586.182204,False,0.0,0.0,0,0,0.07308841794342913
-201.054994,700,7618.539869,False,0.0,0.0,0,0,0.07046756366243934
-222.905603,700,7642.260907,False,0.0,0.0,0,0,0.07046728327644969
-187.232799,700,7675.850352,False,0.0,0.0,0,0,0.07045811577638794
-195.065376,700,7707.427488,False,0.0,0.0,0,0,0.07045435348069351
-194.836789,700,7738.872537,False,0.0,0.0,0,0,0.07130263073927123
-181.973096,700,7774.313868,False,0.0,0.0,0,0,0.07045473339358233
-178.447092,700,7803.573186,False,1.0,0.0,201,4,0.07376740511059732
-194.37143,700,7833.163933,False,0.0,0.0,0,0,0.07045543592708203
-205.58827,700,7872.906317,False,1.0,0.0,52,11,0.07319510985016076
-196.783421,700,7901.270458,False,1.0,0.0,39,1,0.0724483282260624
-202.307329,700,7925.990062,False,0.0,0.0,0,0,0.0704543553932998
-176.763979,700,7967.771618,False,0.0,0.0,0,0,0.07045471424192329
-203.821328,700,7998.244858,False,0.0,0.0,0,0,0.07045517984129723
-215.363118,700,8037.562763,False,1.0,0.0,95,6,0.07237075885003796
-216.232916,700,8069.629817,False,1.0,0.0,45,5,0.07255621235916343
-184.159507,700,8101.708521,False,0.0,0.0,0,0,0.07120072469278649
-172.221579,700,8132.627423,False,1.0,0.0,54,3,0.07285487692185122
-187.706039,700,8176.598733,False,1.0,0.0,125,5,0.07277376288515103
-184.441147,700,8220.394124,False,1.0,0.0,132,2,0.07280303416224398
-195.245043,700,8248.824445,False,0.0,0.0,0,0,0.07046741539698265
-186.527776,700,8282.649241,False,1.0,0.0,46,2,0.0716888329910319
-168.028492,700,8306.665988,False,1.0,0.0,105,2,0.07213998288298418
-159.77348,700,8335.263601,False,1.0,0.0,53,8,0.07300964283492228
-158.197437,700,8364.296126,False,1.0,0.0,52,6,0.07412625906778936
-206.509172,700,8395.37917,False,1.0,0.0,44,4,0.07351650569529711
-160.084863,700,8427.960018,False,1.0,0.0,106,2,0.07695622881378017
-193.282952,700,8457.08613,False,1.0,0.0,63,6,0.07207746686005978
-196.182306,700,8488.556409,False,0.0,0.0,0,0,0.07045473377352562
-191.148102,700,8518.622355,False,0.0,0.0,0,0,0.07046750505326027
-188.911188,700,8551.691381,False,1.0,0.0,559,2,0.0735839930690072
-174.216826,700,8573.846687,False,1.0,0.0,214,4,0.07303126880698341
-203.224078,700,8608.707246,False,0.0,0.0,0,0,0.0704532264198039
-195.596884,700,8643.239235,False,1.0,0.0,43,1,0.07366628779304918
-181.929771,700,8676.443505,False,1.0,0.0,59,4,0.07256285284204289
-204.104362,700,8712.749135,False,0.0,0.0,0,0,0.07246072240288737
-195.992543,700,8752.399422,False,1.0,0.0,113,1,0.0729994148148908
-188.197527,700,8776.386643,False,0.0,0.0,0,0,0.07401852985582802
-201.486089,700,8805.371272,False,1.0,0.0,24,2,0.07273413317972721
