timestep,ep_rew_mean,ep_len_mean,success_rate,contact_success_rate,grasp_success_rate,grasp_lift_success_rate,place_success_rate,first_grasp_step_mean,grasp_transitions_mean,max_height_mean,min_dist_eef_obj_mean,n_episodes
8192,89.48887366666665,669.0,0.1111111111111111,0.7777777777777778,0.7777777777777778,0.0,0.1111111111111111,111.44444444444444,5.444444444444445,0.005833298608784097,0.03625286929006038,9
16384,80.69941680952381,686.7142857142857,0.047619047619047616,0.6190476190476191,0.6190476190476191,0.0,0.047619047619047616,95.42857142857143,3.2857142857142856,0.007300607837689684,0.03863454996955441,21
24576,88.29432612121211,680.1212121212121,0.06060606060606061,0.6666666666666666,0.6666666666666666,0.0,0.06060606060606061,120.24242424242425,2.787878787878788,0.009542741273174291,0.037872704504842064,33
32768,92.47701775555555,685.4222222222222,0.044444444444444446,0.6444444444444445,0.6444444444444445,0.0,0.044444444444444446,114.28888888888889,3.2222222222222223,0.010224777757441322,0.03814577246412119,45
40960,90.87080303508772,688.4912280701755,0.03508771929824561,0.6140350877192983,0.6140350877192983,0.0,0.03508771929824561,100.24561403508773,2.807017543859649,0.010192546236662705,0.038048380131400064,57
49152,89.34691091304347,690.4927536231884,0.028985507246376812,0.5507246376811594,0.5507246376811594,0.0,0.028985507246376812,86.44927536231884,2.5652173913043477,0.009737541489350535,0.03894037415031678,69
57344,86.92781116049383,688.4444444444445,0.037037037037037035,0.5432098765432098,0.5432098765432098,0.0,0.037037037037037035,82.90123456790124,2.493827160493827,0.010672124018238973,0.03858170361417853,81
65536,90.53531113978497,689.9354838709677,0.03225806451612903,0.5161290322580645,0.5161290322580645,0.0,0.03225806451612903,80.97849462365592,2.4838709677419355,0.010611724524306806,0.03983984090164185,93
73728,89.94879126000002,688.26,0.03,0.52,0.52,0.0,0.03,75.26,2.38,0.010736552942000932,0.03947775464111045,100
81920,94.72797290000003,688.26,0.03,0.52,0.52,0.0,0.03,72.9,2.47,0.011024025335094419,0.03982755518166115,100
90112,99.50737812999999,683.72,0.04,0.52,0.52,0.0,0.04,58.41,2.86,0.011055761701312991,0.03965205022554533,100
98304,96.85779997999998,672.85,0.07,0.56,0.56,0.0,0.07,53.08,2.74,0.011063688705934794,0.03946963672783159,100
106496,101.30028328,667.95,0.08,0.6,0.6,0.0,0.08,59.93,2.89,0.011770896177865713,0.039033366794891174,100
114688,104.25428046,656.67,0.1,0.66,0.66,0.0,0.1,63.13,3.14,0.011635198111662883,0.038405268323097805,100
122880,109.00413454000001,659.47,0.09,0.67,0.67,0.0,0.09,63.48,3.06,0.011010032366614268,0.038529107301875885,100
131072,111.31591368,655.98,0.1,0.69,0.69,0.0,0.1,63.4,2.97,0.011159070746898042,0.03800049797611378,100
139264,116.26174319,655.98,0.1,0.71,0.71,0.01,0.1,69.36,3.14,0.017592874773285683,0.038047588832729934,100
147456,118.89350449000001,661.15,0.09,0.7,0.7,0.01,0.09,67.36,3.0,0.018034937374658406,0.03733180340346754,100
155648,122.88646075000001,665.69,0.08,0.71,0.71,0.01,0.08,72.88,2.81,0.017281575835829045,0.037348429021584334,100
163840,126.87528653000001,680.33,0.04,0.69,0.69,0.01,0.04,77.35,2.57,0.017108075549694828,0.03736692648472492,100
172032,131.18807582,680.33,0.04,0.7,0.7,0.01,0.04,84.25,2.54,0.01684861738789206,0.03748493539838038,100
180224,141.95686227,686.84,0.03,0.68,0.68,0.01,0.03,87.87,2.51,0.016977894889507742,0.037924478708118006,100
188416,144.64708185,686.51,0.03,0.7,0.7,0.01,0.03,91.19,2.67,0.017486919379767655,0.037636052817462136,100
196608,148.89245848000002,690.0,0.02,0.69,0.69,0.01,0.02,93.12,2.74,0.017005924100241654,0.037193938807639694,100
204800,153.19542331,682.43,0.04,0.69,0.69,0.01,0.04,92.7,2.97,0.017111810028378912,0.03703625812833972,100
212992,158.47341135,680.35,0.05,0.71,0.71,0.0,0.06,95.38,2.98,0.01122736410313983,0.03726006253987114,100
221184,161.40956952,680.35,0.05,0.69,0.69,0.0,0.06,98.47,2.91,0.011614810243793277,0.037086944174640424,100
229376,169.37644627999998,680.35,0.05,0.63,0.63,0.0,0.06,90.56,2.91,0.011877008602353478,0.037584019950229204,100
237568,174.03457661000002,680.35,0.05,0.62,0.62,0.0,0.06,90.09,3.08,0.012005581177323192,0.03726854628750605,100
245760,178.24912399000004,680.35,0.05,0.63,0.63,0.0,0.06,84.41,3.29,0.012792929639729753,0.03651556411593257,100
253952,187.59796051000004,690.35,0.03,0.61,0.61,0.0,0.04,80.31,3.22,0.0125173851799791,0.03673663706470351,100
262144,192.29083394999998,690.35,0.03,0.63,0.63,0.0,0.04,76.42,3.36,0.012531276172839154,0.036335203781409954,100
270336,195.2714938,697.92,0.01,0.61,0.61,0.0,0.02,70.28,3.49,0.012989473812642425,0.037407360286745135,100
278528,196.75119813,697.92,0.01,0.59,0.59,0.0,0.01,76.91,3.17,0.012721508907603754,0.037740546058181945,100
286720,192.11032422999997,700.0,0.0,0.6,0.6,0.0,0.0,76.65,2.94,0.013055702665597706,0.037753581759888806,100
294912,192.88433458000003,700.0,0.0,0.62,0.62,0.01,0.0,79.55,2.93,0.013226512793101306,0.0372564863868259,100
303104,189.71568146999994,690.82,0.02,0.66,0.66,0.02,0.02,89.92,2.91,0.014333605102458109,0.036637584858378626,100
311296,196.32432882999998,686.99,0.03,0.68,0.68,0.03,0.03,88.94,2.91,0.01646187699635271,0.036301938807672775,100
319488,203.92045447000004,684.92,0.04,0.67,0.67,0.03,0.05,100.33,2.82,0.015926081053589832,0.0364677698672174,100
327680,204.98964080999997,684.92,0.04,0.7,0.7,0.03,0.05,113.77,2.79,0.015775722789662976,0.0365864201371995,100
