#{"t_start": 1776062621.189006, "env_id": "None"}
r,l,t
0.0,500,40.822843
0.0,500,64.614204
0.0,500,107.508861
0.0,500,137.020682
0.0,500,192.97252
0.0,500,210.603893
0.0,500,238.565779
0.0,500,262.901495
0.0,500,294.922229
0.0,500,344.980459
0.0,500,367.386045
0.0,500,395.127891
0.0,500,413.312149
0.0,500,438.200094
0.0,500,458.75695
0.0,500,476.716236
0.0,500,505.763134
0.0,500,530.466163
0.0,500,547.812672
0.0,500,569.667072
0.0,500,598.720119
0.0,500,619.7311
0.0,500,639.295728
0.0,500,668.225406
0.0,500,702.492473
0.0,500,724.587902
0.0,500,749.776701
0.0,500,769.947309
0.0,500,790.383969
0.0,500,810.109596
0.0,500,831.071192
0.0,500,853.874665
0.0,500,893.894696
0.0,500,922.995298
0.0,500,945.049154
0.0,500,968.187351
0.0,500,987.316252
0.0,500,1029.18884
0.0,500,1047.80385
0.0,500,1068.318493
0.0,500,1088.998997
0.0,500,1109.716741
0.0,500,1139.104698
0.0,500,1171.535478
0.0,500,1210.669394
0.0,500,1247.930323
0.0,500,1269.046226
0.0,500,1299.16191
0.0,500,1324.815611
0.0,500,1363.392933
0.0,500,1406.2714
0.0,500,1429.670627
0.0,500,1449.131984
0.0,500,1468.929815
0.0,500,1491.57993
0.0,500,1524.946466
0.0,500,1554.743037
0.0,500,1575.722396
0.0,500,1607.369986
0.0,500,1629.429406
0.0,500,1651.317432
0.0,500,1675.284193
0.0,500,1697.829353
0.0,500,1725.147327
0.0,500,1760.071792
0.0,500,1780.889497
0.0,500,1810.072352
0.0,500,1834.981189
0.0,500,1856.123589
0.0,500,1878.043911
0.0,500,1901.407466
0.0,500,1920.786179
0.0,500,1943.851045
0.0,500,2015.678485
0.0,500,2038.521356
0.0,500,2062.380717
0.0,500,2155.755729
0.0,500,2201.846814
0.0,500,2251.589732
0.0,500,2292.530512
0.0,500,2340.533081
0.0,500,2370.952234
0.0,500,2429.798273
0.0,500,2465.911556
0.0,500,2519.185966
0.0,500,2550.460085
0.0,500,2572.072937
0.0,500,2592.190585
0.0,500,2612.447347
0.0,500,2636.341747
0.0,500,2658.276368
0.0,500,2682.321575
0.0,500,2705.179263
0.0,500,2739.610505
0.0,500,2775.930547
0.0,500,2795.407932
0.0,500,2824.810274
0.0,500,2844.027489
0.0,500,2875.968594
0.0,500,2911.560859
0.0,500,2936.10815
0.0,500,2957.057996
0.0,500,2980.909196
0.0,500,3029.636767
0.0,500,3065.632898
0.0,500,3103.538319
0.0,500,3132.55897
0.0,500,3176.814892
0.0,500,3224.011198
0.0,500,3249.090345
0.0,500,3303.023378
0.0,500,3336.338064
0.0,500,3377.546897
0.0,500,3404.823011
0.0,500,3450.149704
0.0,500,3501.197744
0.0,500,3538.303898
0.0,500,3567.151829
0.0,500,3593.398908
0.0,500,3621.814007
0.0,500,3648.188524
0.0,500,3672.511589
0.0,500,3701.118396
0.0,500,3726.285527
0.0,500,3762.412889
0.0,500,3805.672896
0.0,500,3842.084485
0.0,500,3866.143762
0.0,500,3897.465414
0.0,500,3919.123366
0.0,500,3953.370839
0.0,500,3983.884936
0.0,500,4007.824044
0.0,500,4033.052417
0.0,500,4058.676419
0.0,500,4084.628066
0.0,500,4104.633191
0.0,500,4128.110686
0.0,500,4155.080413
0.0,500,4184.730539
0.0,500,4211.189331
0.0,500,4238.095929
0.0,500,4267.223183
0.0,500,4293.441235
0.0,500,4332.81396
0.0,500,4355.392667
0.0,500,4381.440042
0.0,500,4403.831616
0.0,500,4448.511611
0.0,500,4473.374704
0.0,500,4495.712163
0.0,500,4525.127181
0.0,500,4545.258892
0.0,500,4568.990344
0.0,500,4592.753518
0.0,500,4613.368429
0.0,500,4635.582857
0.0,500,4658.368255
0.0,500,4699.362791
0.0,500,4722.581079
0.0,500,4754.058986
0.0,500,4775.467249
0.0,500,4798.186895
0.0,500,4821.434343
0.0,500,4842.894662
0.0,500,4868.970965
0.0,500,4894.642377
0.0,500,4919.715386
0.0,500,4942.433681
0.0,500,4973.146905
0.0,500,4994.946239
0.0,500,5028.928299
0.0,500,5054.869359
0.0,500,5077.834103
0.0,500,5111.560442
0.0,500,5133.839102
0.0,500,5171.370352
0.0,500,5196.110477
0.0,500,5220.008361
0.0,500,5239.87783
0.0,500,5292.552111
0.0,500,5330.383708
0.0,500,5368.109284
0.0,500,5405.652189
0.0,500,5430.644029
0.0,500,5493.350119
0.0,500,5537.447967
0.0,500,5576.252561
0.0,500,5603.727266
0.0,500,5629.656759
0.0,500,5691.546145
0.0,500,5738.453169
0.0,500,5774.429122
0.0,500,5823.407378
0.0,500,5883.060039
0.0,500,5927.573886
0.0,500,5966.762529
0.0,500,5994.679216
0.0,500,6018.162255
0.0,500,6042.82222
0.0,500,6079.537571
0.0,500,6104.313189
0.0,500,6127.628011
0.0,500,6148.754104
0.0,500,6177.467595
0.0,500,6200.130816
0.0,500,6222.852482
0.0,500,6246.214102
0.0,500,6274.055618
0.0,500,6303.927159
0.0,500,6328.252403
0.0,500,6376.674457
0.0,500,6421.224404
0.0,500,6448.624301
0.0,500,6479.058941
0.0,500,6502.646025
0.0,500,6537.271423
0.0,500,6561.08446
0.0,500,6589.197748
0.0,500,6632.326859
0.0,500,6662.330535
0.0,500,6709.835389
0.0,500,6754.784342
0.0,500,6819.197316
0.0,500,6840.24245
0.0,500,6887.560505
0.0,500,6925.474305
0.0,500,6961.840477
0.0,500,6985.540457
0.0,500,7014.307639
0.0,500,7050.189373
0.0,500,7083.209895
0.0,500,7112.050183
0.0,500,7140.781646
0.0,500,7160.940659
0.0,500,7197.822044
0.0,500,7221.397666
0.0,500,7254.673061
0.0,500,7279.352701
0.0,500,7319.10031
0.0,500,7339.541896
0.0,500,7364.159256
0.0,500,7385.277589
0.0,500,7405.333702
0.0,500,7430.322143
0.0,500,7459.438525
0.0,500,7483.410867
0.0,500,7515.74234
0.0,500,7539.002813
0.0,500,7573.49783
0.0,500,7593.593975
0.0,500,7612.192766
0.0,500,7630.768936
0.0,500,7655.10321
0.0,500,7676.304343
0.0,500,7695.279328
0.0,500,7726.756207
0.0,500,7763.345856
0.0,500,7792.772037
0.0,500,7821.19064
0.0,500,7845.297455
0.0,500,7871.056682
0.0,500,7909.848023
0.0,500,7940.493235
0.0,500,7970.532241
0.0,500,7996.67617
0.0,500,8026.424876
0.0,500,8067.892972
0.0,500,8093.888807
0.0,500,8115.98211
0.0,500,8162.042968
0.0,500,8197.387679
0.0,500,8220.643296
0.0,500,8252.537103
0.0,500,8289.781482
0.0,500,8312.950532
0.0,500,8345.420875
0.0,500,8365.043684
0.0,500,8389.536451
0.0,500,8415.819866
0.0,500,8447.646655
0.0,500,8468.126657
0.0,500,8498.891078
0.0,500,8526.830559
0.0,500,8545.138741
0.0,500,8570.932394
0.0,500,8617.540267
0.0,500,8642.790705
0.0,500,8690.259191
0.0,500,8712.31303
0.0,500,8732.859334
0.0,500,8768.243746
0.0,500,8790.016132
0.0,500,8818.388007
0.0,500,8836.790255
0.0,500,8855.65696
0.0,500,8882.191058
0.0,500,8901.649261
0.0,500,8931.879334
0.0,500,8959.393781
0.0,500,8988.923396
0.0,500,9025.649806
0.0,500,9051.394954
0.0,500,9072.167144
0.0,500,9093.997645
0.0,500,9116.110986
0.0,500,9149.09518
0.0,500,9178.383069
0.0,500,9202.047515
0.0,500,9236.120536
0.0,500,9260.99947
0.0,500,9286.030918
0.0,500,9314.277762
0.0,500,9337.679268
0.0,500,9382.444669
0.0,500,9405.582677
0.0,500,9426.0409
0.0,500,9463.094028
0.0,500,9486.291017
0.0,500,9506.548012
0.0,500,9539.704506
0.0,500,9561.937169
0.0,500,9585.307626
0.0,500,9607.265851
0.0,500,9637.049824
0.0,500,9664.982728
0.0,500,9715.583255
0.0,500,9739.670131
0.0,500,9765.80876
0.0,500,9791.792063
0.0,500,9852.632195
0.0,500,9899.926963
0.0,500,9927.244729
0.0,500,9955.607293
0.0,500,9981.296997
0.0,500,10007.797916
0.0,500,10036.757577
0.0,500,10066.878264
0.0,500,10095.286988
0.0,500,10135.4428
0.0,500,10157.020117
0.0,500,10199.263204
0.0,500,10226.340971
0.0,500,10247.817342
0.0,500,10276.420575
0.0,500,10305.13414
0.0,500,10324.898614
0.0,500,10347.767981
0.0,500,10370.913069
0.0,500,10408.19029
0.0,500,10459.929955
0.0,500,10491.543586
0.0,500,10517.17059
0.0,500,10570.918062
0.0,500,10598.048042
0.0,500,10621.249439
0.0,500,10641.791867
0.0,500,10669.996882
0.0,500,10705.407327
0.0,500,10725.673676
0.0,500,10749.391677
0.0,500,10777.001063
0.0,500,10807.436474
0.0,500,10831.051015
0.0,500,10866.716369
0.0,500,10896.880495
0.0,500,10919.917876
0.0,500,10941.851873
0.0,500,10975.090017
0.0,500,10996.036497
0.0,500,11028.657557
0.0,500,11084.396589
0.0,500,11110.366482
0.0,500,11136.059595
0.0,500,11166.680674
0.0,500,11188.84535
0.0,500,11209.25532
0.0,500,11230.980252
0.0,500,11259.362241
0.0,500,11282.565973
0.0,500,11312.214525
0.0,500,11339.70772
0.0,500,11359.58933
0.0,500,11386.039847
0.0,500,11408.292686
0.0,500,11430.966979
0.0,500,11461.652845
0.0,500,11482.891179
0.0,500,11502.934699
0.0,500,11527.321832
0.0,500,11546.029247
0.0,500,11570.501056
0.0,500,11601.455945
0.0,500,11634.891029
0.0,500,11655.980543
0.0,500,11679.236379
0.0,500,11701.028515
0.0,500,11726.355655
0.0,500,11756.642849
0.0,500,11786.256835
0.0,500,11807.610794
